year,sex,age,nkids,income_average,loan_average,region,earner
2011,female,43,2,87499.50,"2,750",North West,yes
2011,female,53,0,27499.50,"6,250",Yorks&Humber,yes
2011,female,36,2,44999.50,"2,250",South West,yes
2011,male,48,0,62499.50,"3,250",Wales,yes
2011,female,50,0,8499.50,125,South West,yes
2011,male,53,0,10499.50,0,North West,no
2011,male,57,0,44999.50,"5,250",E Midlands,no
2011,female,31,2,6999.50,125,North West,yes
2011,male,28,3,10499.50,750,Scotland,yes
2011,male,40,2,44999.50,0,Greater London,no
2011,male,39,1,87499.50,0,Greater London,yes
2011,female,55,0,21249.50,"1,250",E Midlands,yes
2011,male,27,2,12499.50,0,North West,yes
2011,female,39,2,34999.50,"3,250",W Midlands,yes
2011,male,31,3,16499.50,0,South West,no
2011,male,45,0,62499.50,125,South East,yes
2011,female,73,0,21249.50,0,South East,yes
2011,male,42,1,6999.50,0,North West,yes
2011,male,25,0,87499.50,"30,000",E Midlands,no
2011,female,31,2,34999.50,"5,750",South East,yes
2011,female,32,0,6999.50,125,Greater London,yes
2011,male,27,0,62499.50,"17,500",Greater London,yes
2011,male,31,0,62499.50,0,Greater London,yes
2011,male,59,0,14499.50,0,North,yes
2011,female,57,1,105000.00,750,South East,no
2011,female,61,1,21249.50,"1,750",Yorks&Humber,yes
2011,female,31,0,62499.50,0,E Anglia,yes
2011,female,41,2,44999.50,"17,500",Greater London,yes
2011,female,61,0,10499.50,0,North West,yes
2011,female,40,3,62499.50,0,South East,yes
2011,male,35,2,87499.50,0,Greater London,no
2011,male,38,1,62499.50,0,Greater London,no
2011,female,73,0,12499.50,0,South East,yes
2011,male,80,0,6999.50,0,Scotland,yes
2011,female,36,0,34999.50,"30,000",Yorks&Humber,yes
2011,female,72,0,16499.50,0,Greater London,no
2011,male,32,1,27499.50,"3,250",Yorks&Humber,no
2011,female,48,2,44999.50,0,Yorks&Humber,yes
2011,female,59,0,34999.50,0,Wales,yes
2011,male,55,1,6999.50,0,Greater London,no
2011,male,61,0,6999.50,125,North West,yes
2011,male,71,0,6999.50,0,Scotland,yes
2011,male,44,0,34999.50,0,South West,yes
2011,female,65,0,21249.50,"5,250",Wales,yes
2011,female,77,0,16499.50,0,W Midlands,yes
2011,female,92,0,10499.50,0,E Anglia,yes
2011,male,41,1,27499.50,"3,250",South East,yes
2011,male,39,2,21249.50,"17,500",South West,yes
2011,female,73,0,16499.50,0,South East,yes
2011,female,32,1,16499.50,0,Greater London,yes
2011,male,57,0,21249.50,"9,750",Wales,no
2011,female,76,0,21249.50,0,North,yes
2011,male,36,0,16499.50,0,Scotland,no
2011,female,59,0,21249.50,0,South East,yes
2011,male,59,0,34999.50,0,Yorks&Humber,no
2011,male,54,0,62499.50,0,W Midlands,no
2011,female,78,0,14499.50,0,E Midlands,yes
2011,male,50,1,62499.50,"22,500",Greater London,no
2011,male,62,0,2750.00,125,Yorks&Humber,yes
